REPORT_TYPE,RACE_RAW,ARREST_YEAR,SEX,ARREST_TYPE,CHARGE,CHARGE_DESCRIPTION,ADDRESS,LATITUDE,LONGITUDE,BOOKING_LOCATION,geometry,Neighborhood
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)B&P,NA,BURBANK,34.1722,-118.3659,NA,"c(-118.3659, 34.1722)",North Hollywood
RFC,Black,2019,Male,Misdemeanor,11377 HS,NA,7100    SEPULVEDA                    BL,34.1938,-118.4702,NA,"c(-118.4702, 34.1938)",Van Nuys
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377(A)H&S,NA,1200    LOS PALOS                    ST,34.0189,-118.1954,NA,"c(-118.1954, 34.0189)",Boyle Heights
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,LIBERTY,34.08,-118.2606,NA,"c(-118.2606, 34.08)",Echo Park
RFC,Other Asian,2019,Male,Misdemeanor,11550 HS,NA,4TH,34.0454,-118.2422,NA,"c(-118.2422, 34.0454)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11375HS,NA,7200 N  FIGUEROA                     ST,34.1333,-118.1897,NA,"c(-118.1897, 34.1333)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,FOUNTAIN,34.0958,-118.2846,NA,"c(-118.2846, 34.0958)",Silver Lake
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11550AHS,NA,6TH                          ST,34.0412,-118.2436,NA,"c(-118.2436, 34.0412)",Downtown
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,381(B)LAMC,NA,4900    DARTMOUTH                    AV,34.0711,-118.1783,NA,"c(-118.1783, 34.0711)",El Sereno
RFC,White,2019,Female,Misdemeanor,11550AHS,NA,7TH,34.0438,-118.2416,NA,"c(-118.2416, 34.0438)",Downtown
RFC,White,2019,Male,Misdemeanor,11377,NA,SCOTT,34.0819,-118.2601,NA,"c(-118.2601, 34.0819)",Echo Park
RFC,Other,2019,Male,Misdemeanor,11377A,NA,4800    AGNES                        AV,34.1576,-118.3954,NA,"c(-118.3954, 34.1576)",Valley Village
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,VICTORY,34.1867,-118.3987,NA,"c(-118.3987, 34.1867)",North Hollywood
RFC,Black,2019,Male,Misdemeanor,11377 HS,NA,12900 W  JEFFERSON                    BL,33.9782,-118.422,NA,"c(-118.422, 33.9782)",Playa Vista
RFC,Hispanic/Latin/Mexican,2019,Male,Misdemeanor,11377,NA,EAGLE ROCK,34.1119,-118.2369,NA,"c(-118.2369, 34.1119)",Glassell Park
RFC,White,2019,Male,Misdemeanor,11377H&S,NA,LUCAS,34.0523,-118.2653,NA,"c(-118.2653, 34.0523)",Westlake
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377,NA,ECHO,34.1052,-118.1987,NA,"c(-118.1987, 34.1052)",Highland Park
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377,NA,BROADWAY,34.1431,-118.2249,NA,"c(-118.2249, 34.1431)",Eagle Rock
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11377,NA,AVENUE 26,34.0839,-118.2224,NA,"c(-118.2224, 34.0839)",Cypress Park
RFC,Black,2019,Male,Misdemeanor,11377AHS,NA,MILITARY                     AV,34.0328,-118.4288,NA,"c(-118.4288, 34.0328)",Rancho Park
RFC,Black,2019,Male,Misdemeanor,11377(H&S),NA,HOOVER                       ST,34.0344,-118.284,NA,"c(-118.284, 34.0344)",University Park
RFC,Hispanic/Latin/Mexican,2019,Female,Misdemeanor,11550 HS,NA,7TH,34.0412,-118.2474,NA,"c(-118.2474, 34.0412)",Downtown
